day,net_flows,lock_tx_number,unlock_tx_number
2025-04-25 00:00:00.000 UTC,1100,1,0
2025-04-24 00:00:00.000 UTC,5773.854121501447,10,2
2025-04-23 00:00:00.000 UTC,-930,1,3
2025-04-22 00:00:00.000 UTC,-349.8987689778744,2,1
2025-04-21 00:00:00.000 UTC,2060,3,0
2025-04-19 00:00:00.000 UTC,-959.814199475263,2,1
2025-04-18 00:00:00.000 UTC,-493.67999999999995,1,3
2025-04-17 00:00:00.000 UTC,261.85642455474715,4,0
2025-04-16 00:00:00.000 UTC,-154.67142862138485,4,2
2025-04-15 00:00:00.000 UTC,-134.7408636469877,3,1
2025-04-14 00:00:00.000 UTC,-200,1,1
2025-04-13 00:00:00.000 UTC,1807.3937218946155,2,3
2025-04-12 00:00:00.000 UTC,-9.868159306524944,4,2
2025-04-11 00:00:00.000 UTC,31.97907384735513,1,0
2025-04-10 00:00:00.000 UTC,3135,3,1
2025-04-09 00:00:00.000 UTC,101199.99999999999,3,0
2025-04-08 00:00:00.000 UTC,112619.17927330999,3,1
2025-04-07 00:00:00.000 UTC,-2042,0,1
2025-04-06 00:00:00.000 UTC,-6333,0,8
2025-04-05 00:00:00.000 UTC,-450,0,3
2025-04-04 00:00:00.000 UTC,35.73973081259578,1,4
2025-04-03 00:00:00.000 UTC,-111.03671038860112,0,1
2025-04-02 00:00:00.000 UTC,3431.2227706283284,2,1
2025-04-01 00:00:00.000 UTC,-259.9,4,2
2025-03-31 00:00:00.000 UTC,-299.39428,1,1
2025-03-30 00:00:00.000 UTC,-450,1,1
2025-03-29 00:00:00.000 UTC,0,1,1
2025-03-28 00:00:00.000 UTC,165,2,0
2025-03-27 00:00:00.000 UTC,15.373652650217249,2,0
2025-03-26 00:00:00.000 UTC,-8438.818475844644,5,3
2025-03-25 00:00:00.000 UTC,-19274.38040435895,9,6
2025-03-24 00:00:00.000 UTC,-747.9283836106624,2,2
2025-03-23 00:00:00.000 UTC,8597,1,0
2025-03-22 00:00:00.000 UTC,-200,1,2
2025-03-21 00:00:00.000 UTC,-52.32801460688175,1,1
2025-03-20 00:00:00.000 UTC,56.36229705088024,4,0
2025-03-19 00:00:00.000 UTC,-5177.008856869999,0,2
2025-03-18 00:00:00.000 UTC,6.7570028817912124,1,0
2025-03-17 00:00:00.000 UTC,353.47186139579344,14,0
2025-03-16 00:00:00.000 UTC,-603.836583549622,3,1
2025-03-15 00:00:00.000 UTC,-800,0,1
2025-03-14 00:00:00.000 UTC,35,5,0
2025-03-13 00:00:00.000 UTC,1421.876007234996,7,1
2025-03-12 00:00:00.000 UTC,1776.4544698347747,18,0
2025-03-11 00:00:00.000 UTC,-3764.4911772592736,11,2
2025-03-09 00:00:00.000 UTC,-4232.000000000001,1,2
2025-03-08 00:00:00.000 UTC,-839.712736051036,0,2
2025-03-07 00:00:00.000 UTC,4134.829984407911,3,0
2025-03-06 00:00:00.000 UTC,564.3132,4,1
2025-03-03 00:00:00.000 UTC,-10127.607202538184,1,4
2025-03-01 00:00:00.000 UTC,-2178.1847680932588,0,4
2025-02-28 00:00:00.000 UTC,-174570.31251153993,0,5
2025-02-27 00:00:00.000 UTC,-253.09686001405476,3,1
2025-02-26 00:00:00.000 UTC,218.5924123625079,3,0
2025-02-25 00:00:00.000 UTC,-405.97958927519227,2,1
2025-02-24 00:00:00.000 UTC,102.32670923849854,1,0
2025-02-23 00:00:00.000 UTC,-1.5012989115937715e+06,1,4
2025-02-22 00:00:00.000 UTC,-1000,0,1
2025-02-21 00:00:00.000 UTC,956.8670858677606,4,2
2025-02-20 00:00:00.000 UTC,-179.20670673611687,0,1
2025-02-19 00:00:00.000 UTC,1154.7621644136614,3,0
2025-02-18 00:00:00.000 UTC,357.6705018291046,1,0
2025-02-17 00:00:00.000 UTC,-19109.500000000004,0,2
2025-02-16 00:00:00.000 UTC,-1831.8258752384102,0,5
2025-02-15 00:00:00.000 UTC,1863.3689780498182,3,1
2025-02-14 00:00:00.000 UTC,-1750,1,3
2025-02-13 00:00:00.000 UTC,-3349.4202955085148,4,4
2025-02-12 00:00:00.000 UTC,403.17571894168543,2,1
2025-02-11 00:00:00.000 UTC,-754.9320568715466,2,1
2025-02-10 00:00:00.000 UTC,9859.725469640565,2,1
2025-02-08 00:00:00.000 UTC,-200,0,1
2025-02-07 00:00:00.000 UTC,216.82183494119445,2,0
2025-02-06 00:00:00.000 UTC,1912.0374937334004,10,1
2025-02-05 00:00:00.000 UTC,-1447.7763512791962,2,2
2025-02-04 00:00:00.000 UTC,1000,3,0
2025-02-03 00:00:00.000 UTC,-50567.23535745994,1,1
2025-02-02 00:00:00.000 UTC,-1156,0,2
2025-02-01 00:00:00.000 UTC,-1820,0,10
2025-01-31 00:00:00.000 UTC,-7100,1,2
2025-01-30 00:00:00.000 UTC,-2394.3752857714653,2,5
2025-01-29 00:00:00.000 UTC,838.3533605088046,3,2
2025-01-28 00:00:00.000 UTC,-654.6671770660541,0,2
2025-01-27 00:00:00.000 UTC,20.541531391990077,1,2
2025-01-25 00:00:00.000 UTC,-3495.1740844287383,1,2
2025-01-24 00:00:00.000 UTC,125720,4,0
2025-01-23 00:00:00.000 UTC,1279.2498224846522,6,1
2025-01-22 00:00:00.000 UTC,-798.3242607654312,4,4
2025-01-21 00:00:00.000 UTC,237,4,2
2025-01-20 00:00:00.000 UTC,-101913.16443667718,3,2
2025-01-19 00:00:00.000 UTC,325,2,0
2025-01-18 00:00:00.000 UTC,9051.497485182976,2,0
2025-01-17 00:00:00.000 UTC,-1342.907234048741,1,3
2025-01-16 00:00:00.000 UTC,-1448.393995810322,1,1
2025-01-15 00:00:00.000 UTC,2317.1612598770594,10,1
2025-01-14 00:00:00.000 UTC,19151.49664658,9,4
2025-01-13 00:00:00.000 UTC,104407.19712559834,7,2
2025-01-12 00:00:00.000 UTC,-260,2,2
2025-01-11 00:00:00.000 UTC,-302.4254270065572,1,1
2025-01-10 00:00:00.000 UTC,213960.29600724115,8,1
2025-01-09 00:00:00.000 UTC,-427.83220284823574,4,2
2025-01-08 00:00:00.000 UTC,11104.719288774979,6,1
2025-01-07 00:00:00.000 UTC,1479.5217818656488,6,0
2025-01-06 00:00:00.000 UTC,5150,1,1
2025-01-05 00:00:00.000 UTC,-49312.10109827805,1,1
2025-01-04 00:00:00.000 UTC,209.11881958090845,3,1
2025-01-03 00:00:00.000 UTC,-2546.472732805508,5,6
2025-01-02 00:00:00.000 UTC,-116102.5846451302,2,4
2025-01-01 00:00:00.000 UTC,962.7898905033057,3,0
2024-12-30 00:00:00.000 UTC,-4697.0310365035975,3,1
2024-12-29 00:00:00.000 UTC,-1839.5117,2,2
2024-12-28 00:00:00.000 UTC,-58.54912381739074,0,1
2024-12-27 00:00:00.000 UTC,2976.9801194688384,2,1
2024-12-26 00:00:00.000 UTC,-3000,1,1
2024-12-25 00:00:00.000 UTC,333.10919707,1,0
2024-12-24 00:00:00.000 UTC,-739.065246337028,2,2
2024-12-23 00:00:00.000 UTC,-207.64458661483013,3,1
2024-12-22 00:00:00.000 UTC,6723.075124596625,1,3
2024-12-21 00:00:00.000 UTC,3763.4640920785687,1,1
2024-12-20 00:00:00.000 UTC,822.644598821128,2,1
2024-12-19 00:00:00.000 UTC,15935.036856177638,6,0
2024-12-18 00:00:00.000 UTC,-16960.640899743637,6,11
2024-12-17 00:00:00.000 UTC,-198830.0070204274,3,2
2024-12-16 00:00:00.000 UTC,2222.3021241704582,2,0
2024-12-15 00:00:00.000 UTC,1180.8030611111194,3,1
2024-12-14 00:00:00.000 UTC,2352.9742168192824,2,0
2024-12-13 00:00:00.000 UTC,21412.35018438943,7,0
2024-12-12 00:00:00.000 UTC,14245.405610849179,9,1
2024-12-11 00:00:00.000 UTC,6788.757643958486,19,0
2024-12-10 00:00:00.000 UTC,88548.10654925034,35,1
2024-12-09 00:00:00.000 UTC,6995.047348677045,5,0
2024-12-08 00:00:00.000 UTC,48827.50767693359,6,0
2024-12-07 00:00:00.000 UTC,32616.315573390486,3,1
